Postcode,SA4,Relevance
0800,Darwin,1.0
0810,Darwin,1.0
0812,Darwin,1.0
0820,Darwin,1.0
0822,Darwin,0.1440035
0822,Northern Territory - Outback,0.8559965
0828,Darwin,1.0
0829,Darwin,1.0
0830,Darwin,0.9999985
0832,Darwin,1.0
0835,Darwin,1.0
0836,Darwin,1.0
0837,Darwin,1.0
0838,Darwin,1.0
0840,Northern Territory - Outback,0.9990751
0841,Darwin,1.0
0845,Northern Territory - Outback,1.0
0846,Northern Territory - Outback,1.0
0847,Northern Territory - Outback,1.0
0850,Northern Territory - Outback,1.0
0852,Western Australia - Outback,0.0006658
0852,Northern Territory - Outback,0.9993342
0853,Northern Territory - Outback,1.0
0854,Northern Territory - Outback,1.0
0860,Northern Territory - Outback,1.0
0862,Northern Territory - Outback,1.0
0870,Northern Territory - Outback,1.0
0872,South Australia - Outback,0.1157318
0872,Western Australia - Outback,0.0827448
0872,Northern Territory - Outback,0.8015234
0880,Northern Territory - Outback,1.0
0885,Northern Territory - Outback,1.0
0886,Northern Territory - Outback,1.0
0909,Darwin,1.0
2000,Sydney - City and Inner South,1.0
2006,Sydney - City and Inner South,1.0
2007,Sydney - City and Inner South,1.0
2008,Sydney - City and Inner South,1.0
2009,Sydney - City and Inner South,1.0
2010,Sydney - City and Inner South,1.0
2011,Sydney - City and Inner South,1.0
2015,Sydney - City and Inner South,1.0
2016,Sydney - City and Inner South,1.0
2017,Sydney - City and Inner South,1.0
2018,Sydney - City and Inner South,1.0
2019,Sydney - City and Inner South,1.0
2020,Sydney - City and Inner South,1.0
2021,Sydney - Eastern Suburbs,1.0
2022,Sydney - Eastern Suburbs,1.0
2023,Sydney - Eastern Suburbs,1.0
2024,Sydney - Eastern Suburbs,1.0
2025,Sydney - Eastern Suburbs,1.0
2026,Sydney - Eastern Suburbs,1.0
2027,Sydney - Eastern Suburbs,1.0
2028,Sydney - Eastern Suburbs,1.0
2029,Sydney - Eastern Suburbs,1.0
2030,Sydney - Eastern Suburbs,1.0
2031,Sydney - Eastern Suburbs,1.0
2032,Sydney - City and Inner South,0.075631
2032,Sydney - Eastern Suburbs,0.924369
2033,Sydney - City and Inner South,0.0015149
2033,Sydney - Eastern Suburbs,0.9984851
2034,Sydney - Eastern Suburbs,1.0
2035,Sydney - City and Inner South,0.1094433
2035,Sydney - Eastern Suburbs,0.8905567
2036,Sydney - City and Inner South,0.2145424
2036,Sydney - Eastern Suburbs,0.7854576
2037,Sydney - City and Inner South,1.0
2038,Sydney - City and Inner South,0.0102462
2038,Sydney - Inner West,0.9897538
2039,Sydney - Inner West,1.0
2040,Sydney - Inner West,0.9999328
2041,Sydney - Inner West,1.0
2042,Sydney - City and Inner South,1.0
2043,Sydney - City and Inner South,1.0
2044,Sydney - City and Inner South,1.0
2045,Sydney - Inner West,1.0
2046,Sydney - Inner West,1.0
2047,Sydney - Inner West,1.0
2048,Sydney - City and Inner South,0.9994772
2048,Sydney - Inner West,0.0005228
2049,Sydney - City and Inner South,0.7269643
2049,Sydney - Inner West,0.2730357
2050,Sydney - City and Inner South,1.0
2052,Sydney - Eastern Suburbs,1.0
2060,Sydney - North Sydney and Hornsby,1.0
2061,Sydney - North Sydney and Hornsby,1.0
